indicator,atr_band,trades,win_rate_pct,net_usd,avg_usd,top_exit,top_exit_pct
CCI,0.10-0.12,319,65.2,176.05,0.55,STOP_TRAILING,46.39
CCI,0.12-0.20,222,63.06,447.85,2.02,STOP_TRAILING,62.61
CCI,0.20+,25,60.0,-46.96,-1.88,STOP_TRAILING,60.0
MACD,0.10-0.12,178,64.61,0.46,0.0,STOP_BREAKEVEN,46.07
MACD,0.20+,19,78.95,122.83,6.46,STOP_TRAILING,57.89
MA_CROSS,0.05-0.08,98,69.39,54.19,0.55,STOP_TRAILING,43.88
MA_CROSS,0.08-0.10,1,0.0,-13.2,-13.2,STOP_LOSS,100.0
MA_CROSS,0.12-0.20,34,82.35,325.55,9.58,STOP_TRAILING,73.53
MA_CROSS,0.20+,5,100.0,228.54,45.71,STOP_TRAILING,100.0
RSI,0.00-0.05,109,77.06,132.46,1.22,STOP_BREAKEVEN,61.47
RSI,0.08-0.10,166,66.27,104.8,0.63,STOP_TRAILING,54.82
RSI,0.10-0.12,1,100.0,16.89,16.89,STOP_TRAILING,100.0
RSI,0.20+,18,66.67,-9.19,-0.51,STOP_TRAILING,61.11
STOCH,0.00-0.05,220,59.55,-134.56,-0.61,STOP_BREAKEVEN,50.91
STOCH,0.05-0.08,544,70.04,145.93,0.27,STOP_BREAKEVEN,55.51
STOCH,0.08-0.10,1,0.0,-11.25,-11.25,STOP_LOSS,100.0
STOCH,0.20+,22,40.91,331.78,15.08,STOP_LOSS,59.09
