indicator,atr_band,trades,win_rate_pct,net_usd,avg_usd,top_exit,top_exit_pct
CCI,0.12-0.20,271,56.09,373.95,1.38,STOP_TRAILING,55.72
MACD,0.20+,18,72.22,224.75,12.49,STOP_TRAILING,66.67
MA_CROSS,0.05-0.08,89,67.42,38.7,0.43,STOP_TRAILING,44.94
MA_CROSS,0.08-0.10,44,63.64,21.32,0.48,STOP_TRAILING,54.55
MA_CROSS,0.10-0.12,25,60.0,-61.87,-2.47,STOP_LOSS,40.0
MA_CROSS,0.12-0.20,34,79.41,384.63,11.31,STOP_TRAILING,67.65
MA_CROSS,0.20+,5,100.0,230.66,46.13,STOP_TRAILING,100.0
RSI,0.00-0.05,114,75.44,140.65,1.23,STOP_BREAKEVEN,42.98
RSI,0.08-0.10,156,66.03,17.27,0.11,STOP_TRAILING,40.38
RSI,0.10-0.12,95,66.32,-32.13,-0.34,STOP_TRAILING,37.89
RSI,0.20+,18,66.67,208.53,11.59,STOP_TRAILING,66.67
STOCH,0.05-0.08,575,59.83,145.7,0.25,STOP_TRAILING,44.87
STOCH,0.08-0.10,1,0.0,-11.79,-11.79,STOP_LOSS,100.0
