indicator,atr_band,trades,win_rate_pct,net_usd,avg_usd,top_exit,top_exit_pct
CCI,0.12-0.20,296,60.47,227.54,0.77,STOP_TRAILING,49.32
CCI,0.20+,34,64.71,67.81,1.99,STOP_TRAILING,50.0
MACD,0.20+,18,72.22,224.75,12.49,STOP_TRAILING,66.67
MA_CROSS,0.05-0.08,90,67.78,44.84,0.5,STOP_TRAILING,45.56
MA_CROSS,0.08-0.10,45,62.22,6.41,0.14,STOP_TRAILING,53.33
MA_CROSS,0.12-0.20,34,79.41,384.63,11.31,STOP_TRAILING,67.65
MA_CROSS,0.20+,5,100.0,230.66,46.13,STOP_TRAILING,100.0
RSI,0.00-0.05,114,75.44,140.65,1.23,STOP_BREAKEVEN,42.98
RSI,0.08-0.10,165,66.06,20.67,0.13,STOP_TRAILING,40.61
RSI,0.10-0.12,1,100.0,16.82,16.82,STOP_TRAILING,100.0
RSI,0.20+,18,66.67,208.53,11.59,STOP_TRAILING,66.67
STOCH,0.05-0.08,553,68.72,59.96,0.11,STOP_BREAKEVEN,39.06
STOCH,0.08-0.10,284,65.49,136.56,0.48,STOP_TRAILING,38.73
