indicator,atr_band,trades,win_rate_pct,net_usd,avg_usd,top_exit,top_exit_pct
CCI,0.12-0.20,246,58.13,543.32,2.21,STOP_TRAILING,57.32
CCI,0.20+,31,58.06,81.36,2.62,STOP_TRAILING,58.06
MACD,0.20+,18,72.22,224.75,12.49,STOP_TRAILING,66.67
MA_CROSS,0.05-0.08,90,67.78,44.84,0.5,STOP_TRAILING,45.56
MA_CROSS,0.08-0.10,45,62.22,6.41,0.14,STOP_TRAILING,53.33
MA_CROSS,0.12-0.20,34,79.41,384.63,11.31,STOP_TRAILING,67.65
MA_CROSS,0.20+,5,100.0,230.66,46.13,STOP_TRAILING,100.0
RSI,0.00-0.05,114,75.44,140.65,1.23,STOP_BREAKEVEN,42.98
RSI,0.08-0.10,165,66.06,20.67,0.13,STOP_TRAILING,40.61
RSI,0.10-0.12,1,100.0,16.82,16.82,STOP_TRAILING,100.0
RSI,0.20+,18,66.67,208.53,11.59,STOP_TRAILING,66.67
STOCH,0.05-0.08,567,71.78,68.41,0.12,STOP_BREAKEVEN,45.68
STOCH,0.08-0.10,285,68.07,98.86,0.35,STOP_BREAKEVEN,34.39
